,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc
393,195000.0,1 bedroom flat for sale,"Lothian Road, Edinburgh, Midlothian",http://www.rightmove.co.uk/properties/96288074,http://www.rightmove.co.uk/estate-agents/agent/Thorntons-Property-Services/Edinburgh-155639.html,,1.0,2021-01-17 16:42:17.951429,"Lothian Burn, Lothianburn, City of Edinburgh, Midlothian, Scotland, EH10 7DU, United Kingdom"
394,195000.0,1 bedroom flat for sale,"Lochrin Place, Edinburgh, Midlothian",http://www.rightmove.co.uk/properties/101067554,http://www.rightmove.co.uk/estate-agents/agent/Thorntons-Property-Services/Edinburgh-155639.html,,1.0,2021-01-17 16:42:17.951429,
395,190000.0,1 bedroom flat for sale,"Leamington Road, Edinburgh, Midlothian, EH3",http://www.rightmove.co.uk/properties/101153570,http://www.rightmove.co.uk/estate-agents/agent/Your-Move/Edinburgh-8459.html,EH3,1.0,2021-01-17 16:42:17.951429,
396,190000.0,2 bedroom flat for sale,"Brand Place, Abbeyhill, Edinburgh, Edinburgh",http://www.rightmove.co.uk/properties/87770266,http://www.rightmove.co.uk/estate-agents/agent/Springbok-Properties/Nationwide-53811.html,,2.0,2021-01-17 16:42:17.951429,"Brand Place, Abbeyhill Turnback, Old Town, City of Edinburgh, Scotland, EH8 8JH, United Kingdom"
397,190000.0,1 bedroom flat for sale,"Bryson Road, Flat 7, Polwarth, Edinburgh, EH11 1EE",http://www.rightmove.co.uk/properties/88190086,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Edinburgh-150686.html,EH11,1.0,2021-01-17 16:42:17.951429,
398,190000.0,2 bedroom flat for sale,"Balfour Place, Edinburgh",http://www.rightmove.co.uk/properties/88330858,http://www.rightmove.co.uk/estate-agents/agent/Ninety-Property/Lasswade-76962.html,,2.0,2021-01-17 16:42:17.951429,"Balfour Place, Pilrig, Leith Central, City of Edinburgh, Scotland, EH6 5DN, United Kingdom"
399,190000.0,1 bedroom flat for sale,"3/3 Porteous Pend, 25 Grassmarket, Edinburgh, EH1 2HP",http://www.rightmove.co.uk/properties/88168393,http://www.rightmove.co.uk/estate-agents/agent/Simpson-and-Marwick/Edinburgh-15605.html,EH1,1.0,2021-01-17 16:42:17.951429,
400,179000.0,2 bedroom apartment for sale,"Springwell Place, Flat 8, Dalry, Edinburgh, EH11 2JA",http://www.rightmove.co.uk/properties/88326445,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Edinburgh-150686.html,EH11,2.0,2021-01-17 16:42:17.951429,"Springwell Place, Ardmillan, Dalry, City of Edinburgh, Scotland, EH11 2HX, United Kingdom"
401,189000.0,1 bedroom flat for sale,"Hopetoun Street, Bellevue, Edinburgh",http://www.rightmove.co.uk/properties/100794425,http://www.rightmove.co.uk/estate-agents/agent/Ballantynes/Edinburgh-49877.html,,1.0,2021-01-17 16:42:17.951429,"Hopetoun Street, Broughton, New Town/Broughton, City of Edinburgh, Scotland, EH7 4NE, United Kingdom"
402,189000.0,1 bedroom flat for sale,"51 Roseburn Terrace, Roseburn, Edinburgh",http://www.rightmove.co.uk/properties/102002657,http://www.rightmove.co.uk/estate-agents/agent/Ballantynes/Edinburgh-49877.html,,1.0,2021-01-17 16:42:17.951429,"51, Roseburn Terrace, Roseburn, Murrayfield, City of Edinburgh, Scotland, EH12 5NQ, United Kingdom"
